"operationId","method","path","sdkGroup","sdkMethod","sdkNaming","liveStatus","sdkSurface","sdkEvidence","mcpTool","mcpStatus","mcpEvidence","cliSurface","cliEvidence","testEvidence","docEvidence"
"createWorkspaceCustomField","POST","/workspaces/{workspaceId}/custom-fields","customFields","createForWorkspace","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_create_for_workspace; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateWorkspaceCustomField","PUT","/workspaces/{workspaceId}/custom-fields/{customFieldId}","customFields","updateForWorkspace","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_update_for_workspace; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteWorkspaceCustomField","DELETE","/workspaces/{workspaceId}/custom-fields/{customFieldId}","customFields","deleteForWorkspace","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_delete_for_workspace; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getCreatedEntityInfo","GET","/workspaces/{workspaceId}/entities/created","entityChangesExperimental","listCreated","explicit","live-success","present","wrapper/src/api/resources/entityChangesExperimental/client/Client.ts (generated)","clockify_entity_changes_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/entityChanges.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getDeletedEntityInfo","GET","/workspaces/{workspaceId}/entities/deleted","entityChangesExperimental","listDeleted","explicit","live-success","present","wrapper/src/api/resources/entityChangesExperimental/client/Client.ts (generated)","clockify_entity_changes_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/entityChanges.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getUpdatedEntityInfo","GET","/workspaces/{workspaceId}/entities/updated","entityChangesExperimental","listUpdated","explicit","live-success","present","wrapper/src/api/resources/entityChangesExperimental/client/Client.ts (generated)","clockify_entity_changes_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/entityChanges.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspaceExpenses","GET","/workspaces/{workspaceId}/expenses","expenses","list","explicit","live-success","present","wrapper/src/api/resources/expenses/client/Client.ts (generated)","clockify_expenses_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","wrapper/tests/expense-list.test.ts,expense-update-multipart.test.ts; cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createExpense","POST","/workspaces/{workspaceId}/expenses","expenses","create","explicit","live-success","present","wrapper/src/api/resources/expenses/client/Client.ts (generated)","clockify_expenses_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","wrapper/tests/expense-list.test.ts,expense-update-multipart.test.ts; cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getExpenseCategories","GET","/workspaces/{workspaceId}/expenses/categories","expenseCategories","list","explicit","live-success","present","wrapper/src/api/resources/expenseCategories/client/Client.ts (generated)","clockify_expenses_categories_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"addExpenseCategory","POST","/workspaces/{workspaceId}/expenses/categories","expenseCategories","create","explicit","live-success","present","wrapper/src/api/resources/expenseCategories/client/Client.ts (generated)","clockify_expenses_categories_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateExpenseCategory","PUT","/workspaces/{workspaceId}/expenses/categories/{categoryId}","expenseCategories","update","explicit","live-success","present","wrapper/src/api/resources/expenseCategories/client/Client.ts (generated)","clockify_expenses_categories_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteExpenseCategory","DELETE","/workspaces/{workspaceId}/expenses/categories/{categoryId}","expenseCategories","delete","explicit","live-success","present","wrapper/src/api/resources/expenseCategories/client/Client.ts (generated)","clockify_expenses_categories_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"archiveExpenseCategory","PATCH","/workspaces/{workspaceId}/expenses/categories/{categoryId}/status","expenseCategories","archive","explicit","live-success","present","wrapper/src/api/resources/expenseCategories/client/Client.ts (generated)","clockify_expenses_categories_archive","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getExpenseById","GET","/workspaces/{workspaceId}/expenses/{expenseId}","expenses","get","explicit","live-success","present","wrapper/src/api/resources/expenses/client/Client.ts (generated)","clockify_expenses_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","wrapper/tests/expense-list.test.ts,expense-update-multipart.test.ts; cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateExpense","PUT","/workspaces/{workspaceId}/expenses/{expenseId}","expenses","update","explicit","live-success","present","wrapper/src/api/resources/expenses/client/Client.ts (generated)","clockify_expenses_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","wrapper/tests/expense-list.test.ts,expense-update-multipart.test.ts; cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteExpense","DELETE","/workspaces/{workspaceId}/expenses/{expenseId}","expenses","delete","explicit","live-success","present","wrapper/src/api/resources/expenses/client/Client.ts (generated)","clockify_expenses_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/expenses.ts","wrapper/tests/expense-list.test.ts,expense-update-multipart.test.ts; cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"downloadExpenseReceipt","GET","/workspaces/{workspaceId}/expenses/{expenseId}/files/{fileId}","expenses","downloadReceipt","explicit","live-success","present","wrapper/src/api/resources/expenses/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_expenses_download_receipt; overrideReason=null","group-command","cli/src/commands/expenses.ts","wrapper/tests/expense-list.test.ts,expense-update-multipart.test.ts; cli/tests/read-commands-expenses.test.ts; mcp/tests/expenses.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspaceHolidays","GET","/workspaces/{workspaceId}/holidays","holidays","list","explicit","live-success","present","wrapper/src/api/resources/holidays/client/Client.ts (generated)","clockify_holidays_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/timeoff.ts","mcp/tests/holidays.test.ts,holidays-resolve.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createHoliday","POST","/workspaces/{workspaceId}/holidays","holidays","create","explicit","live-success","present","wrapper/src/api/resources/holidays/client/Client.ts (generated)","clockify_holidays_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/timeoff.ts","mcp/tests/holidays.test.ts,holidays-resolve.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspaceHolidaysInPeriod","GET","/workspaces/{workspaceId}/holidays/in-period","holidays","listInPeriod","explicit","live-success","present","wrapper/src/api/resources/holidays/client/Client.ts (generated)","clockify_holidays_list_in_period","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/timeoff.ts","mcp/tests/holidays.test.ts,holidays-resolve.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateHoliday","PUT","/workspaces/{workspaceId}/holidays/{holidayId}","holidays","update","explicit","live-success","present","wrapper/src/api/resources/holidays/client/Client.ts (generated)","clockify_holidays_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/timeoff.ts","mcp/tests/holidays.test.ts,holidays-resolve.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteHoliday","DELETE","/workspaces/{workspaceId}/holidays/{holidayId}","holidays","delete","explicit","live-success","present","wrapper/src/api/resources/holidays/client/Client.ts (generated)","clockify_holidays_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/timeoff.ts","mcp/tests/holidays.test.ts,holidays-resolve.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateWorkspaceBillableRate","PUT","/workspaces/{workspaceId}/hourly-rate","workspaces","updateBillableRate","explicit","live-success","present","wrapper/src/api/resources/workspaces/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_workspaces_update_billable_rate; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/server.test.ts (group-level); cli: none","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspaceInvoices","GET","/workspaces/{workspaceId}/invoices","invoices","list","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"addInvoice","POST","/workspaces/{workspaceId}/invoices","invoices","create","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"filterInvoices","POST","/workspaces/{workspaceId}/invoices/info","invoices","filter","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getInvoiceSettings","GET","/workspaces/{workspaceId}/invoices/settings","invoiceSettings","get","explicit","live-success","present","wrapper/src/api/resources/invoiceSettings/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_invoice_settings_get; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"updateInvoiceSettings","PUT","/workspaces/{workspaceId}/invoices/settings","invoiceSettings","update","explicit","live-success","present","wrapper/src/api/resources/invoiceSettings/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_invoice_settings_update; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"getInvoiceById","GET","/workspaces/{workspaceId}/invoices/{invoiceId}","invoices","get","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateInvoice","PUT","/workspaces/{workspaceId}/invoices/{invoiceId}","invoices","update","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteInvoice","DELETE","/workspaces/{workspaceId}/invoices/{invoiceId}","invoices","delete","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"duplicateInvoice","POST","/workspaces/{workspaceId}/invoices/{invoiceId}/duplicate","invoices","duplicate","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_invoices_duplicate; overrideReason=null","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"exportInvoice","GET","/workspaces/{workspaceId}/invoices/{invoiceId}/export","invoices","export","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_invoices_export; overrideReason=null","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"addInvoiceItem","POST","/workspaces/{workspaceId}/invoices/{invoiceId}/items","invoiceItems","create","explicit","live-success","present","wrapper/src/api/resources/invoiceItems/client/Client.ts (generated)","clockify_invoices_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","mcp/tests/invoices.test.ts (group-level)","docs/openapi-operations.md; docs/operation-parity.json"
"importInvoiceItems","POST","/workspaces/{workspaceId}/invoices/{invoiceId}/items/import","invoiceItems","import","explicit","live-success","present","wrapper/src/api/resources/invoiceItems/client/Client.ts (generated)","clockify_invoices_import_time","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","mcp/tests/invoices.test.ts (group-level)","docs/openapi-operations.md; docs/operation-parity.json"
"deleteInvoiceItem","DELETE","/workspaces/{workspaceId}/invoices/{invoiceId}/items/{order}","invoiceItems","delete","explicit","live-success","present","wrapper/src/api/resources/invoiceItems/client/Client.ts (generated)","clockify_invoices_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","mcp/tests/invoices.test.ts (group-level)","docs/openapi-operations.md; docs/operation-parity.json"
"getInvoicePayments","GET","/workspaces/{workspaceId}/invoices/{invoiceId}/payments","invoicePayments","list","explicit","live-success","present","wrapper/src/api/resources/invoicePayments/client/Client.ts (generated)","clockify_invoices_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","mcp/tests/invoices.test.ts (group-level)","docs/openapi-operations.md; docs/operation-parity.json"
"addInvoicePayment","POST","/workspaces/{workspaceId}/invoices/{invoiceId}/payments","invoicePayments","create","explicit","live-success","present","wrapper/src/api/resources/invoicePayments/client/Client.ts (generated)","clockify_invoices_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","mcp/tests/invoices.test.ts (group-level)","docs/openapi-operations.md; docs/operation-parity.json"
"deleteInvoicePayment","DELETE","/workspaces/{workspaceId}/invoices/{invoiceId}/payments/{paymentId}","invoicePayments","delete","explicit","live-success","present","wrapper/src/api/resources/invoicePayments/client/Client.ts (generated)","clockify_invoices_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","mcp/tests/invoices.test.ts (group-level)","docs/openapi-operations.md; docs/operation-parity.json"
"changeInvoiceStatus","PATCH","/workspaces/{workspaceId}/invoices/{invoiceId}/status","invoices","updateStatus","explicit","live-success","present","wrapper/src/api/resources/invoices/client/Client.ts (generated)","clockify_invoices_update_status","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/invoices.ts","wrapper/tests/invoice-body.test.ts; cli/tests/invoices.test.ts; mcp/tests/invoices.test.ts,single-op-writes.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"addLimitedUsersWithInfo","POST","/workspaces/{workspaceId}/limited-users","(derived)","addLimitedUsersWithInfo","operationId-derived","probe-documented","present","wrapper/src/api/resources/workspaces/client/Client.ts (generated; derived group workspaces)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_workspaces_add_limited_users_with_info; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
