"id","category","severity","confidence","status","claim","evidence","affected","impact","remediation","verification","contradictory","origin"
"W-11","stale docs","low","medium","verified","README says 29 resource modules; code has 30; docs/resources says 30","wrapper/README.md:11; docs/resources/README.md; src/Client.ts","wrapper/README.md","misleading contributor count","fix count (see W-02)","grep","none","A"
"W-12","misleading receipt","low","high","verified","runComposition failure receipts list created refs that were already rolled back; only status.rolledBack distinguishes","compose.ts:100,161","wrapper/compose.ts","callers summarizing outcome.created over-report","document or restructure receipt (e.g. rollbackWarnings-driven created list)","code reading; design documented in JSDoc","leftBehindNote keys off rollbackWarnings only, so cleanup claim safe","A"
"W-13","doc/code mismatch","low","medium","verified","paginate doc claims Last-Page honoring via iterAll; the adapted callback promise never carries the header, so the length heuristic always applies on this path","pagination.ts:19-22,41-44; iter.ts:169-175","wrapper/pagination.ts, iter.ts","misleading doc; behavior is the only possible one for the callback shape","fix doc sentence","code reading","iterAll itself honors the header; sentence true for iterAll","A"
"W-14","validation timing","low","medium","verified","validateRetryPolicy maxRetries check runs per request, not at composedFetch() construction; POST/PATCH rejection is construction-time (documented)","composed-fetch.ts:105-106,311,450,624-626","wrapper/composed-fetch.ts","retryPolicy:{maxRetries:2.5} throws on first request, not at construction","validate at construction like the POST/PATCH path","code reading","inconsistent timing only; same option object","A"
"M-01","correctness (message)","medium","high","verified","switchWork misreports: reads stopped.stopped off the envelope instead of data.stopped, so the failure note claims the previous timer was stopped even when no timer ran; branch at :169 dead","mcp/src/tools/workflows/time-tracking.ts:149,168-170; repro probe (fake ctx, listInProgress->[] + create throws) -> Error: switch_work: the previous timer was stopped...","mcp/src/tools/workflows/time-tracking.ts","wrong recovery message on the only failure path of a workflow tool","read (stopped as {data?:{stopped?:boolean}}).data?.stopped; add no-timer test","tsx repro (executed); work-time-tracking.test.ts:162 covers only stop-succeeded branch","none","B"
"M-02","stale docs","low","high","verified","README one-click bundle links clockify115-mcp-0.8.0.mcpb while package is 1.0.1; 0.8.0 predates the 162-tool surface","mcp/README.md:38-39; git tag -l (mcp-v0.8.0 exists, no mcp-v1.0.1 in clone); CHANGELOG 0.10.0/1.0.0","mcp/README.md","users following recommended install get an outdated server","link current release; add drift check bundle version == PACKAGE_VERSION","git tag -l (executed)","tag list may be incomplete offline","B"
"M-03","stale docs","low","high","verified","docs/mcp-tools.json holidays row: count 5, 4 names (list_in_period missing); README domain table generated verbatim from this file","docs/mcp-tools.json:49; scripts/update-readme-tables.mjs:40-51; docs/mcp-tool-manifest.json (has all 5)","docs/mcp-tools.json; mcp/README.md","agents trusting the table cannot discover clockify_holidays_list_in_period","fix row or generate from manifest","node comparison (executed)","none","B"
"M-04","correctness (data-adjacent)","low","high","verified","demo_seed accepts custom date but demo_cleanup default window hard-coded 2026; custom-dated seeds orphan from default cleanup; after 2026-12-31 default seeds write past-year dates","mcp/src/tools/workflows/demo.ts:113,181-182","mcp/src/tools/workflows/demo.ts","demo data can outlive the cleanup contract (prefix-discoverable, low)","derive cleanup window from seed date, or reject out-of-window dates","code reading; no test seeds custom date then default cleanup","objects remain prefix-discoverable","B"
"M-05","duplication / drift guard","low","medium","verified","Two 51-event webhook registries; only business.ts has a compile-time exhaustiveness guard; webhooks.ts uses as const satisfies (not exhaustive)","mcp/src/tools/workflows/business.ts:30-82,85-90; mcp/src/tools/webhooks.ts:64-116; wrapper/src/api/types/WebhookEventType.ts (51 members)","mcp/src/tools/workflows/business.ts, tools/webhooks.ts","a 52nd union member compiles fine in webhooks.ts; the two tools then disagree","add Exclude-based guard to webhooks.ts or derive one registry","static diff (executed): sets identical today","none today","B"
"M-06","coverage gap / parity","medium","high","verified","64/168 ops have tsMcp:null in operation-parity.json with overrideReason:null on every row; ~20 ops genuinely unexposed (webhook token rotation, invoice settings/duplicate/export, deleteMany, uploadImage, getCurrentUser, getAllMyWorkspaces, addWorkspace, user-scoped time-entry routes, ForUser approvals, cost/billable-rate updates, downloadExpenseReceipt, createProjectFromTemplate, addLimitedUsersWithInfo, findUserTeamManagers, updateUserCustomFieldValue); several others covered by renamed unstamped tools","docs/operation-parity.json (probed: 168 rows, 64 null); examples of renamed coverage: getWorkspaceInfo->clockify_workspace_settings, updateProjectUserHourlyRate->clockify_projects_set_member_rate","docs/operation-parity.json; mcp/src/tools/**","parity doc under-reports coverage; real API surface gaps; coverage decision not recorded where the gate reads it","stamp renamed coverage; consider guarded tools for token rotation/invoice settings/duplicate/export/deleteMany; record overrideReason","node probe (executed)","Go MCP has goMcp:null on most too - deliberate curation line, but unrecorded","B"
"M-07","schema/UX","low","high","verified","z.url() accepts http:// and non-http schemes at schema level; HTTPS enforced only in preview via assertSafeWebhookUrl","mcp/src/tools/webhooks.ts (create preview); mcp/src/tools/workflows/business.ts setupWebhook","mcp/src/tools/webhooks.ts, workflows/business.ts","dry_run required to learn the scheme is invalid; model-visible schema over-advertises","refine schema to https:// or document","zod4 z.url() semantics + preview code path","error is still stable-coded invalid_request; no security gap","B"
"M-08","stale doc snippet","low","medium","verified","clockify_sdk_snippet promises URL safety warnings the dry-run envelope never carries (it has preview/confirm_token/expires_at/preview_hash/risk_class)","mcp/src/tools/agent-docs.ts SNIPPETS.webhook.mcp; mcp/src/result.ts defineGuardedTool payload","mcp/src/tools/agent-docs.ts","agent looks for a field that never appears","reword to 'URL validated before preview; invalid URLs error'","grep (executed)","invalid URLs error instead","B"
"M-09","response shaping","low","medium","verified","scheduling_publish and users_invite emit changed.*[].id:"""" refs (empty ids); hasChangeSet keeps them; output schema accepts empty string","mcp/src/tools/scheduling.ts (publish execute); mcp/src/tools/users.ts (invite execute); mcp/src/result.ts hasChangeSet","mcp/src/tools/scheduling.ts, users.ts","agents chaining on changed.*[].id get """" and cannot follow up","omit the ref/bucket when id empty, or add warning field","code reading; documented as deliberate in comments","contract-consistent per comment","B"
"M-10","discoverability","low","medium","verified","Rate tools (projects_set_member_rate, tasks_set_rate, users_set_member_rate) skip name->id resolution that sibling id-slot tools perform; pasted name 404s instead of clarification receipt","mcp/src/tools/projects.ts, tasks.ts, users.ts (rate tool previews); AGENTS.md §10 governed resolver list excludes them","mcp/src/tools/projects.ts, tasks.ts, users.ts","UX inconsistency; contract-consistent","extend governed resolver list (maintainer decision per AGENTS.md)","code reading","AGENTS.md §10 list does not include rate tools","B"
"M-11","schema inconsistency","low","high","verified","holidays create/update accept color: z.string() without format check; projects validate /^#[0-9A-Fa-f]{6}$/","mcp/src/tools/holidays.ts; mcp/src/tools/projects.ts PROJECT_COLOR_SCHEMA","mcp/src/tools/holidays.ts","bad color reaches the wire as opaque 400 instead of local invalid_request","reuse the hex regex","grep (executed)","none","B"
"M-12","duplication","low","high","verified","approvals_resubmit inlines z.enum([WEEKLY,SEMI_MONTHLY,MONTHLY]) while four sibling tools use APPROVAL_PERIODS constant","mcp/src/tools/approvals.ts","mcp/src/tools/approvals.ts","a wire change to periods updates four tools and silently misses the fifth","reuse APPROVAL_PERIODS","grep (executed)","none","B"
"M-13","bounded scan","low","high","verified","time_off_requests_get scans POST search in pages of 200 capped at 50 pages (10k requests), then reports not_found without mentioning the cap","mcp/src/tools/timeOff/requests.ts","mcp/src/tools/timeOff/requests.ts","a real request past page 50 reported missing","mention the scan cap in the error message","code reading; no test exercises the cap","message says 'not found in the workspace search' (true but silent)","B"
"M-14","weak test / gate hole","low","high","verified","tool-manifest.test.ts asserts readOnlyHint/destructiveHint/openWorldHint/confirmation but not idempotentHint - the only config-dependent annotation","mcp/tests/tool-manifest.test.ts; mcp/src/result.ts:380","mcp/tests/tool-manifest.test.ts","a flipped idempotent flag is not caught by this gate","assert idempotentHint === (risk==='read' || config flag)","test source read","root check-mcp-write-safety.mjs may catch some cases","B"
"M-15","error classification","low","medium","verified","errorCodeForMessage substring matching mislabels status-less 5xx messages containing 'invalid'/'missing' as invalid_request (retryable:false) instead of clockify_upstream_error","mcp/src/error-codes.ts; example: 'upstream gateway error: invalid gateway' -> invalid_request","mcp/src/error-codes.ts","wrong recovery hint for transient upstream failures","order network/upstream markers before generic validation tokens","static analysis; ordering tests exist for documented cases","only reachable when SDK classifier and status map both miss","B"
"M-16","response shaping","low","medium","verified","entries_log returns {...entry, ...body}: request body overrides the created entry's fields (e.g. derived start)","mcp/src/tools/entries.ts clockify_entries_log","mcp/src/tools/entries.ts","merged object is not the wire entity; inconsistent with sibling create tools","return the entry as-is or move derived fields to meta","code reading","cosmetic/contract-consistency","B"
"C-1","weak test / coverage drift","medium","high","verified","mutation-leaves.test.ts pins 30 mutating leaves but docs/cli-write-safety-contract.json declares 35; the 5 uncovered (approvals submit-with-type x2, balance-assignment create/update/delete) have zero behavioral success/failure-envelope proof yet the gate prints '35 mutation handlers behaviorally proved'","cli/tests/mutation-leaves.test.ts:726,728; grep of the 5 names = 0 hits; docs/cli-write-safety-contract.json (mutatingLeaves=35, behavioralTests); scripts/check-cli-write-safety.mjs (runs vitest on both files)","cli/tests/mutation-leaves.test.ts; scripts/check-cli-write-safety.mjs","defects in the 5 leaves' failure-envelope/receipt paths pass cli-write-safety, contract-gates, perfect-fast","add the 5 cases or explicitly scope the claim; fix the console message","grep -c (executed)","balance-assignment.test.ts/approvals.test.ts cover happy paths and some validation","C"
"C-2","validation gap","low","high","verified","parseIntArg/parseFloatArg accept trailing garbage: --limit 1abc -> 1 (exit 0, sent to the wire)","cli/src/commands/helpers.ts:23-28,38-44; executed: node cli/dist/index.js entries list --limit 1abc (exit 0); tests cover only abc/0/negative","cli/src/commands/helpers.ts; cli/tests/numeric-flags.test.ts","malformed input silently changes values in scripts","full-string regex before parseInt/parseFloat","execution (executed; one read-only GET occurred)","guard comment documents only the NaN case","C"
"C-3","validation gap / exit-code consistency","low","high","verified","--region/--subdomain validate lazily in buildClient: invalid value exits 1 (not 2 like --output) and is silently ignored by client-less commands (completion exit 0)","executed: --region bogus --json status -> exit 1; --region bogus completion bash -> exit 0; --output xml status -> exit 2; cli/src/index.ts:61-73,84-91; cli/src/client.ts:36-55","cli/src/index.ts, client.ts","scripts cannot rely on exit 2 for all bad flag values; typo silently ignored on completion/version","attach parse-time validators mirroring parseOutputMode","execution (executed)","README exit-code table lists 1 = validation, so arguably documented; doctor validates routing offline","C"
"C-4","stale/broken example","medium","high","verified","cli/examples/daily-timesheet.sh cannot run: calls nonexistent clk115 review and nonexistent entries list --date; no gate covers cli/examples/*.sh","cli/examples/daily-timesheet.sh:13-17; grep 'review' cli/src = 0; entries list exposes --from/--to (entries.ts:28-29); docs/examples-contract.json names only wrapper/examples/*; created 6cba7d9, never touched","cli/examples/daily-timesheet.sh; docs/examples-contract.json; scripts/check-examples-matrix.mjs","README steers users to a script that fails on first line","rewrite or delete; add cli-examples row to examples matrix + bash -n gate","grep + file read (executed)","other 5 scripts plausible but never executed; mock-run.sh port hardcoded to dynamic mock port","C"
"C-5","typed-seam bypass","low","high","verified","webhooks list passes type via untyped requestOptions query seam with a comment claiming the generated request does not own the filter - it does (ListWebhooksRequest.type)","cli/src/commands/webhooks.ts:169-172; wrapper/src/api/resources/webhooks/client/requests/ListWebhooksRequest.ts:7-8; Client.ts:52-54","cli/src/commands/webhooks.ts","cosmetic on the wire; escape-hatch class the cast budget exists to eliminate; misleading comment","use the typed request field; delete the seam","git log -S (comment predates request type gaining type)","sandbox test passes with either implementation","C"
"C-6","tautological assertion","low","high","verified","sandbox.test.ts audit-log shape assertion json===null || Array.isArray(json) || typeof json==='object' is true for every parsed JSON","cli/tests/sandbox.test.ts:469-472","cli/tests/sandbox.test.ts","regression that stays JSON-shaped passes the smoke","assert the actual envelope or drop the assertion","code reading","comment says deliberate looseness (live shape undocumented)","C"
"C-7","dead code / stale README","low","high","verified","printSuccess has no production callers; README 'success-only commands emit {ok:true,message}' describes output nothing emits","cli/src/output.ts:66-74; grep printSuccess cli/src = definition only; cli/README.md Output modes; CHANGELOG 0.5.0 (stop was the only call site)","cli/src/output.ts; cli/README.md","dead code + stale doc claim","delete printSuccess + tests, or update README","grep (executed)","receipts carry ok/action/entity/ids instead","C"
"G-1","gate weakness","medium","high","verified","docs/cli-contract.json globalFlags lists 7 of 9 implemented flags (missing --region/--subdomain added in 1.0.1), so their removal passes every gate; exit-code evidence is a substring search for toBe(2) anywhere in the test file","docs/cli-contract.json:11-20; scripts/check-cli-contract.mjs:214-216,218-220; cli/src/index.ts:61-73","docs/cli-contract.json; scripts/check-cli-contract.mjs","drift in the two routing flags invisible to cli-contract/perfect-fast/CI","add the two flags; parse assertions instead of substring search","python probe + file read (executed)","README documents the flags, so doc review would catch user-facing drift","C"
"G-2","stale gate message","low","high","verified","check-tag-hygiene.mjs claims release.yml publishes on bare v*.*.* tags; release.yml triggers on wrapper-v*.*.* (package-prefixed)","scripts/check-tag-hygiene.mjs:6-7; .github/workflows/release.yml:5-7; ci-cli-release.yml; ci-mcp-release.yml","scripts/check-tag-hygiene.mjs","failure text misleads a maintainer about what a bare tag would do (it triggers only docs.yml)","update comment/message to name docs.yml and package-prefixed triggers","file read (executed)","prohibition itself still desirable","C"
"G-3","gate weakness (marker-only)","medium","high","verified","~80 of ~90 gates are marker-only: contract JSON declares marker strings; checker asserts they appear in evidence docs; no source code inspected (e.g. check-mutation-safety.mjs reads only policy/contract/docs)","scripts/check-mutation-safety.mjs (full read: includesAll over docs only); Makefile mutation-safety target; same pattern in check-live-safety, check-test-data-lifecycle, check-mock-clockify-contract, check-env-contract, check-config-precedence, ~40 siblings","scripts/check-*.mjs family; Makefile","gates pass while underlying behavior is broken as long as docs unchanged","per-gate: add real proof or rename claims; convert the highest-value markers","file reads (executed)","minority of gates do execute real proof (cli-write-safety, ci-contract, performance-budgets, version-consistency, tag-hygiene, sandbox-key-health, docs-counts, openapi-lint, cast-budget)","C"
"G-4","hand-maintained metadata","low","high","verified","docs/cli-commands.json (66 rows) is generated by no script; check-cli-contract.mjs only verifies command strings appear in README (regenerated from the same JSON) - a self-consistency loop; descriptions/args never compared to the commander tree","scripts/update-readme-tables.mjs:31-43; scripts/check-cli-contract.mjs:205-211; docs/cli-commands.json","docs/cli-commands.json; scripts/check-cli-contract.mjs","help-text drift is green across all gates (command count drift is caught by introspection)","compare metadata names against collectClassifiedLeaves(buildProgram()) paths","grep (executed)","leaf add/remove caught by cli-write-safety introspection","C"
"WF-1","dead workflow trigger","medium","high","verified","docs.yml tag trigger v*.*.* matches no tag the repo ever creates (only wrapper-v*/cli-v*/mcp-v*; tag-hygiene forbids bare semver); docs deploy on main push only",".github/workflows/docs.yml:2-6; git tag (all package-prefixed); scripts/check-tag-hygiene.mjs:7-11",".github/workflows/docs.yml","release-tag docs deploy never fires","change trigger to package-prefixed patterns or drop tag trigger + comment","git tag + file read (executed)","main-push deploys keep Pages current","C"
"WF-2","gates never run in CI","medium","high","verified","performance-budgets, governance-audit (aggregate-gates, docs-counts, conformance-drift, enterprise-audit, ...), perfect-fast/perfect-full plans, and verify.mjs are executed by no workflow; Makefile help calls governance-audit 'Scheduled' but no schedule exists","grep performance-budgets|verify.mjs|governance .github/workflows = 0; Makefile help lines 50-53; .github/workflows/ci.yml jobs; grep cron (only codeql + sandbox-key-health)",".github/workflows/*; Makefile","startup-time regressions and the governance surface unguarded in CI","add scheduled workflow for governance-audit; add performance-budgets to ci.yml with documented escape","grep (executed)","release workflows run contract-gates + release-proof","C"
"WF-3","swallowed failure","low","high","verified","All 3 release workflows wrap registry-smoke.mjs in if/then/else status recording; the step always exits 0; a post-publish smoke failure only lands in the receipt","release.yml:160-166; ci-cli-release.yml:158-164; ci-mcp-release.yml:222-228",".github/workflows/release.yml, ci-cli-release.yml, ci-mcp-release.yml","a publish that never became installable can exit green (attestation usually catches absence)","else exit 1 while keeping the receipt write","file reads (executed)","receipt-based design documented in docs/ci-policy.md markers","C"
"WF-4","best-effort SBOM","low","high","verified","release.yml SBOM step is continue-on-error:true; a release can complete without an SBOM ('No valid SBOM file to attach; skipping upload')","release.yml SBOM step; GitHub release upload step",".github/workflows/release.yml","SBOM consumers get nothing without anyone noticing","make SBOM required or document optional","file read (executed)","deliberate per continue-on-error","C"
"D-01","stale doc / count","medium","high","verified","AGENTS.md:326 says build:smoke verifies '92 names'; the pinned count is 93","AGENTS.md:326; wrapper/scripts/verify-dual-build.sh:18; docs/sdk-public-api.json rootSymbols=93; CLAUDE.md:31 says 93","AGENTS.md","misleads contributors about the public-surface gate; the two agent docs disagree","s/92 names/93 names/","grep + count (executed)","CLAUDE.md has the correct number","D"
"D-02","stale doc + gate gap","medium","high","verified","docs/gotchas/spec-live-api-reality.md:66 says live-success '135/163'; current is 161/168; docs-counts denylist contains '135 live-verified' but not '135/163', so the stale string survives the gate","docs/gotchas/spec-live-api-reality.md:66; docs/docs-counts-contract.json forbiddenStrings/mustAppearIn; scripts/check-docs-counts.mjs:108-158","docs/gotchas/spec-live-api-reality.md; docs/docs-counts-contract.json","the most-read gotcha states a headline 26 ops and 5 denominator points stale","update number; add '135/163' to forbiddenStrings","grep + contract read (executed)","derived-claim layer covers other headlines","D"
"D-03","stale doc / counts","medium","high","verified","ADR 0006 'current baseline' claims 163 ops (149+14) and api=152; actual 168 (149+19), api=157","docs/decisions/0006-mcp-tool-surface-scope.md; docs/operation-parity.json; spec x-clockify-host counts","docs/decisions/0006-mcp-tool-surface-scope.md","a decision record labeling itself 'current' contradicts the surfaces it names as authority","update to 168/149/19 and api=157; extend governed set list to 19","python probes (executed)","generated inventories agree with the new numbers","D"
"D-04","contradictory docs","medium","high","verified","ADR 0006 addenda tool-count sequence self-contradictory: 144->162 (Task 26) ->147 (Task 27) ->162 (2026-08-04 after REMOVING a tool); mcp-backlog records 144->146->147->153->162","docs/decisions/0006-mcp-tool-surface-scope.md addenda; docs/mcp-backlog.md","docs/decisions/0006-mcp-tool-surface-scope.md","a reader cannot reconstruct the surface history","correct Task 26 to 146 and the 08-04 addendum, or mark superseded","arithmetic check (executed)","mcp-backlog sequence is consistent","D"
"D-05","version/metadata drift","medium","high","verified","docs/release-decision.md:27-28 calls SDK 0.15.1 / CLI 0.5.1 / MCP 0.8.1 'current'; packages are 1.0.1; the prose also contradicts its own registry receipt (0.6.1/0.9.1)","docs/release-decision.md:27-28; package.jsons; .release-please-manifest.json; docs/release-decision-registry-receipt.json; git log (last touched 5ea3202, before fa1673c)","docs/release-decision.md","the designated current release-decision surface describes a pre-release state","refresh to 1.0.1 and update posture, or mark historical","python probes (executed)","none","D"
"D-06","stale doc / count","low","high","verified","docs/agent-tasks/add-mcp-tool.md:30 says '22 workflow + 124 domain'; actual 22+140","docs/agent-tasks/add-mcp-tool.md:30; docs/mcp-tools.json; mcp/tests/server.test.ts:290","docs/agent-tasks/add-mcp-tool.md","task packet states the wrong domain count (16 short)","s/124/140/","grep + count (executed)","none","D"
"D-07","stale doc / version","low","high","verified","docs/one-point-zero-surface-inventory.md says 'wrapper, CLI and MCP are all 1.0.0'; actual 1.0.1","docs/one-point-zero-surface-inventory.md; README Status table; package.jsons","docs/one-point-zero-surface-inventory.md","present-tense version claim wrong","s/1.0.0/1.0.x/ or 1.0.1","grep (executed)","registry rows at 0.15.1 are labeled historical","D"
"D-08","stale doc / count","low","medium","verified","spec/evidence/generator-comparison.md says 'the spec is now 184 operations'; it is 168","spec/evidence/generator-comparison.md intro","spec/evidence/generator-comparison.md","'now' phrasing factually wrong next to generated inventories","s/now 184/at the time 184/","grep (executed)","marked HISTORICAL","D"
"D-09","stale doc / path","low","medium","verified","spec/evidence/probes/README.md says probe files are git-ignored 'as part of fern/'; the repo is clockify-ts-sdk, gitignore is spec/evidence/probes/*.{json,hdr}","spec/evidence/probes/README.md; .gitignore:11-13","spec/evidence/probes/README.md","future reader may look for a fern/ directory","update path wording","file read (executed)","pre-rename workspace name","D"
"D-10","stale doc / count","low","high","verified","docs/README.md says 'Generated (14 rows)... Hand-maintained (91 rows)'; the table has 112 rows, 92 marked 'edit intentionally'","docs/README.md; row count of the table","docs/README.md","numbers wrong on their face","refresh counts or drop them","row count (executed)","the doc itself disclaims the heading is historical","D"
"D-11","evidence gap","low","medium","verified","operation-evidence-anchor-inventory.json has 78 anchors vs 79 ledger slugs; errors.400-not-found.regex-breadth-unprobed missing despite the 'complete' claim","docs/operation-evidence-anchor-inventory.json; spec/evidence/discrepancies.md (79 ### slugs); python set-diff","docs/operation-evidence-anchor-inventory.json","consuming gates may be blind to the newest open entry","add the entry when reviewed","python set-diff (executed)","newest entry is OPEN, likely pending review","D"
"D-12","stale denylist","low","medium","verified","docs-counts-contract.json forbids '93 public names' while 93 is now the current count; demonstrates denylist decay (same class that let 135/163 through)","docs/docs-counts-contract.json forbiddenStrings; CLAUDE.md:31 ('93 SDK public names across 28 subpaths' - different substring, so gate passes)","docs/docs-counts-contract.json; scripts/check-docs-counts.mjs","stale entries stay forever; near-miss strings escape","replace denylist layer with derived-claim layer for live-success headline and name count","python probe (executed)","none","D"
"S-01","evidence/provenance chain","high","high","verified","Source lock + live-evidence manifest attest GOCLMCP commit 1dc0392 (736,890 B, sha256 aa59a076...) but the shipped snapshot is 764,551 B (abebc826...) from later commits ea7eb23+d15ce1e; H01-LOCK was never re-approved; currentness gates compare manifest<->lock only, never lock<->shipped bytes","docs/openapi-source-lock.json; spec/evidence/live-evidence-manifest.json canonicalCommit; shasum -a 256 spec/corrected/clockify.corrected.openapi.yaml = abebc826... (matches GOCLMCP HEAD 7d26f48); scripts/check-live-evidence-manifest.mjs:276-288; ledger holidays.update.replace-and-scope-filter re-verify","docs/openapi-source-lock.json; spec/evidence/live-evidence-manifest.json; scripts/check-live-evidence-manifest.mjs","the immutable-source-lock trust anchor answers the wrong commit while every gate passes","re-run H01-LOCK for the actual commit; make validateLiveEvidenceManifest compare against shipped bytes","shasum + python probes (executed); network verify queued","lock/manifest/approval are mutually consistent (consistently stale)","D"
"S-02","evidence-ledger gap","medium","high","verified","Manifest attests 134/168 live-success (19 probe-documented, 15 documented) while spec stamps + headline say 161/168 (6/1); 31 rows disagree, unexplained","spec/evidence/live-evidence-manifest.json (Counter probe); spec x-clockify-live-status counts; AGENTS.md:705; docs/live-evidence-currentness entry (129->134)","spec/evidence/live-evidence-manifest.json; spec/corrected spec","a consumer trusting the manifest concludes the 161/168 headline is overstated","document campaign-attestation vs sweep-promotion semantics or re-run the campaign","python Counter probe (executed)","ledger's own campaign entry records 129->134, consistent with manifest","D"
